,EventId,Behaviour,Object,Outcome,Significance,ExternalId,Threat
292,1764008,/Communicate/Query,/Host/Application/Service,/Success,/Informational,5158,Low
293,1764009,/Communicate/Query,/Host/Application/Service,/Success,/Informational,5158,Low
294,1764010,/Communicate/Query,/Host/Application/Service,/Success,/Informational,5158,Low
295,1764011,/Communicate/Query,/Host/Application/Service,/Success,/Informational,5158,Low
296,1764012,/Communicate/Query,/Host/Application/Service,/Success,/Informational,5158,Low
297,1764013,/Communicate/Query,/Host/Application/Service,/Success,/Informational,5158,Low
298,1764014,/Communicate/Query,/Host/Application/Service,/Success,/Informational,5158,Low
299,1764015,/Communicate/Query,/Host/Application/Service,/Success,/Informational,5158,Low
300,1764016,/Communicate/Query,/Host/Application/Service,/Success,/Informational,5158,Low
301,1764017,/Communicate/Query,/Host/Application/Service,/Success,/Informational,5158,Low
302,1764018,/Communicate/Query,/Host/Application/Service,/Success,/Informational,5158,Low
303,1764019,/Communicate/Query,/Host/Application/Service,/Success,/Informational,5158,Low
304,1764020,/Communicate/Query,/Host/Application/Service,/Success,/Informational,5158,Low
305,1764021,/Communicate/Query,/Host/Application/Service,/Success,/Informational,5158,Low
306,1764022,/Communicate/Query,/Host/Application/Service,/Success,/Informational,5158,Low
307,1764023,/Communicate/Query,/Host/Application/Service,/Success,/Informational,5158,Low
308,1764024,/Communicate/Query,/Host/Application/Service,/Success,/Informational,5158,Low
309,1764025,/Communicate/Query,/Host/Application/Service,/Success,/Informational,5158,Low
310,1764026,/Communicate/Query,/Host/Application/Service,/Success,/Informational,5158,Low
311,1764027,/Communicate/Query,/Host/Application/Service,/Success,/Informational,5158,Low
312,1764028,/Communicate/Query,/Host/Application/Service,/Success,/Informational,5158,Low
313,1764029,/Communicate/Query,/Host/Application/Service,/Success,/Informational,5158,Low
314,1764030,/Communicate/Query,/Host/Application/Service,/Success,/Informational,5158,Low
315,1764031,/Communicate/Query,/Host/Application/Service,/Success,/Informational,5158,Low
316,1764032,/Communicate/Query,/Host/Application/Service,/Success,/Informational,5158,Low
317,1764033,/Communicate/Query,/Host/Application/Service,/Success,/Informational,5158,Low
